,A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
0,교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(2학기),
1,교양필수,대학교교양필수,,,GEB1113,크로스오버 2 : 자연의 탐색,2.0,1학년(1학기),
2,교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
3,교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(2학기),
4,교양필수,대학교교양필수,,,GEB1141,미래사회와 소프트웨어-인문사회계열,3.0,1학년(1학기),
5,교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
6,교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(1학기),일반과목군(지정 1과목)
7,교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(1학기),일반과목군(지정 1과목)
8,교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(1학기),일반과목군(지정 1과목)
9,교양필수,학과(부)교양필수,,,,"핵심교양-2.역사, 사상, 문화",3.0,전체,교양교과과정참조
10,교양필수,학과(부)교양필수,,,,"핵심교양-3.문학, 예술, 상징",3.0,전체,교양교과과정참조
11,교양필수,학과(부)교양필수,,,,"핵심교양-5.자연, 생명, 환경",3.0,전체,교양교과과정참조
12,교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
13,교양필수,학과(부)교양필수,,,,창의,3.0,전체,교양교과과정참조
14,교양필수,학과(부)교양필수,,,,SW�AI,3.0,전체,교양교과과정참조
15,교양필수,계열교양영역,계열교양영역,,SOS1105,경제수학,3.0,1학년(1학기),
16,교양필수,계열교양영역,계열교양영역,,SOS1106,통계학,3.0,1학년(2학기),
17,전공필수,,필수,전공기반,ECO1101,경제원론 1,3.0,1학년(1학기),
18,전공필수,,필수,전공기반,ECO1102,경제원론 2,3.0,1학년(2학기),
19,전공필수,,필수,전공기반,ECO2201,미시경제학,3.0,"2학년(1,2학기)",
20,전공필수,,필수,전공기반,ECO2202,거시경제학,3.0,"2학년(1,2학기)",
21,전공선택,,공공/재정,전공핵심,ECO3203,소득분배론,3.0,4학년(1학기),
22,전공선택,,공공/재정,전공핵심,ECO3271,후생경제학,3.0,3학년(1학기),
23,전공선택,,공공/재정,전공핵심,ECO3273,재정학,3.0,2학년(2학기),
24,전공선택,,공공/재정,전공핵심,ECO3349,법경제학,3.0,3학년(2학기),
25,전공선택,,공공/재정,전공핵심,ECO3372,사회보장론,3.0,4학년(2학기),
26,전공선택,,공공/재정,전공핵심,ECO3374,조세론,3.0,3학년(1학기),
27,전공선택,,공공/재정,전공핵심,ECO3385,정치경제학,3.0,3학년(2학기),
28,전공선택,,공통,전공기반,ECO2221,경제학사,3.0,2학년(2학기),
29,전공선택,,공통,전공핵심,ECO2222,경제사,3.0,2학년(1학기),
30,전공선택,,공통,전공핵심,ECO3305,현대경제학,3.0,4학년(2학기),
31,전공선택,,공통,전공핵심,ECO3306,경제문제연구,3.0,4학년(1학기),
32,전공선택,,공통,전공핵심,ECO3307,시사경제,3.0,3학년(1학기),
33,전공선택,,공통,전공집중,ECO3313,수리경제학,3.0,3학년(1학기),
34,전공선택,,공통,전공핵심,ECO3325,한국경제사,3.0,3학년(2학기),
35,전공선택,,공통,,ECO3326,동아시아경제론,3.0,3학년(2학기),
36,전공선택,,공통,전공핵심,ECO3346,행동경제학,3.0,3학년(2학기),
37,전공선택,,공통,전공핵심,ECO3347,게임이론,3.0,3학년(1학기),
38,전공선택,,공통,전공기반,ECO3382,한국경제론,3.0,2학년(2학기),
39,전공선택,,공통,전공핵심,ECO3383,경제체제론,3.0,2학년(1학기),
40,전공선택,,공통,전공핵심,ECO3386,경제학과 문제해결,3.0,4학년(2학기),
41,전공선택,,공통,전공집중,ECO4391,경제이론세미나,3.0,4학년(1학기),
42,전공선택,,공통,전공집중,ECO4392,경제정책세미나,3.0,4학년(2학기),
43,전공선택,,공통,,ECO4393,경제학 진로세미나,3.0,4학년(1학기),
44,전공선택,,금융/국제,전공핵심,ECO3333,국제금융론,3.0,3학년(2학기),
45,전공선택,,금융/국제,전공핵심,ECO3334,글로벌경제론,3.0,3학년(2학기),
46,전공선택,,금융/국제,전공핵심,ECO3335,경제통합론,3.0,4학년(1학기),
47,전공선택,,금융/국제,,ECO3337,국제무역론,3.0,3학년(1학기),
48,전공선택,,금융/국제,전공핵심,ECO3361,화폐금융론,3.0,3학년(1학기),
49,전공선택,,금융/국제,전공핵심,ECO3362,금융투자론,3.0,3학년(1학기),
50,전공선택,,금융/국제,전공핵심,ECO3363,금융경제학,3.0,3학년(2학기),
51,전공선택,,금융/국제,전공핵심,ECO3381,경제발전론,3.0,3학년(2학기),
52,전공선택,,금융/국제,전공핵심,ECO3387,경제성장론,3.0,3학년(1학기),
53,전공선택,,데이터/프로그래밍,전공핵심,ECO2211,경제정보분석,3.0,2학년(1학기),
54,전공선택,,데이터/프로그래밍,전공집중,ECO2212,계량경제학,3.0,2학년(2학기),
55,전공선택,,데이터/프로그래밍,,ECO3212,응용계량경제학,3.0,3학년(1학기),
56,전공선택,,데이터/프로그래밍,,ECO3243,경제학을 위한 프로그래밍,3.0,4학년(1학기),
57,전공선택,,산업/노동,전공핵심,ECO3341,산업조직론,3.0,3학년(2학기),
58,전공선택,,산업/노동,전공핵심,ECO3342,정보경제학,3.0,3학년(2학기),
59,전공선택,,산업/노동,전공핵심,ECO3343,노동경제학,3.0,3학년(1학기),
60,전공선택,,산업/노동,전공핵심,ECO3344,기술경제론,3.0,3학년(1학기),
61,전공선택,,산업/노동,전공핵심,ECO3345,디지털경제론,3.0,4학년(2학기),
62,전공선택,,산업/노동,전공핵심,ECO3348,젠더경제학,3.0,3학년(2학기),
63,전공선택,,산업/노동,전공핵심,ECO3352,자원환경경제학,3.0,3학년(1학기),
64,전공선택,,산업/노동,전공핵심,ECO3353,지역경제학,3.0,3학년(2학기),
