course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
DET3021-002,DET3021,002,스마트웰니스디자인,전체,3.0,전공선택,"화16,17,18,19,20,21(60주년-904)",송지희,절대평가, 
DET1001-001,DET1001,001,그래픽디자인스튜디오,1,3.0,전공선택,"수1,2,3,4,5,6(60주년-904)",정하영,절대평가, 
DET1001-002,DET1001,002,그래픽디자인스튜디오,1,3.0,전공선택,"수10,11,12,13,14,15(60주년-904)",정하영,절대평가, 
DET1002-001,DET1002,001,디지털영상스튜디오,1,3.0,전공선택,"목4,5,6,7,8,9(5남137)",권인영,절대평가, 
DET1002-002,DET1002,002,디지털영상스튜디오,1,3.0,전공선택,"목13,14,15,16,17,18(5남137)",권인영,절대평가, 
DET1005-001,DET1005,001,기초선형대수,1,3.0,전공필수,"월19,20,21,22,23,24(60주년-908)",김종현,절대평가, 
DET1005-002,DET1005,002,기초선형대수,1,3.0,전공필수,"화1,2,3,4,5,6(60주년-908)",김종현,절대평가, 
DET1005-003,DET1005,003,기초선형대수,1,3.0,전공필수,"화10,11,12,13,14,15(60주년-908)",김종현,절대평가, 
DET1006-001,DET1006,001,H.O.S.T. 미디어 랩 1,1,1.0,전공선택,"화11,12(5남137)",성보경,Pass/Fail, 
DET1008-001,DET1008,001,H.O.S.T. 미디어 랩 3,1,1.0,전공선택,"화17,18(60주년-908)",김종현,Pass/Fail, 
CDN2111-001,CDN2111,001,스마트Eco디자인,2,3.0,전공선택,"목10,11,12,13,14,15(60주년-908)",김후석,절대평가, 
CDN2220-003,CDN2220,003,캐릭터디자인,2,3.0,전공선택,"금1,2,3,4,5,6(60주년-904)",박재옥,절대평가, 
CDN2220-004,CDN2220,004,캐릭터디자인,2,3.0,전공선택,"금10,11,12,13,14,15(60주년-904)",박재옥,절대평가, 
DET2001-001,DET2001,001,기초3D애니메이션,2,3.0,전공필수,"수1,2,3,4,5,6(60주년-908)",김윤정,절대평가, 
DET2001-002,DET2001,002,기초3D애니메이션,2,3.0,전공필수,"수10,11,12,13,14,15(60주년-908)",이완구,절대평가, 
DET2001-003,DET2001,003,기초3D애니메이션,2,3.0,전공필수,"수16,17,18,19,20,21(60주년-908)",이완구,절대평가, 
DET2003-001,DET2003,001,기술과 창의,2,3.0,전공선택,"월10,11,12,13,14,15(5남132)",한수지,절대평가, 
DET2006-001,DET2006,001,AR/VR 영상제작,2,3.0,전공선택,"월4,5,6,7,8,9(5남137)",김윤정,절대평가, 
DET2006-002,DET2006,002,AR/VR 영상제작,2,3.0,전공선택,"수1,2,3,4,5,6(5남137)",이완구,절대평가, 
DET2016-001,DET2016,001,IoT UX디자인,2,3.0,전공필수,"수10,11,12,13,14,15(5남132)",이덕찬,절대평가, 
DET2016-002,DET2016,002,IoT UX디자인,2,3.0,전공필수,"수16,17,18,19,20,21(5남132)",이덕찬,절대평가, 
DET2016-003,DET2016,003,IoT UX디자인,2,3.0,전공필수,"목19,20,21,22,23,24(5남132)",이덕찬,절대평가, 
DET3021-001,DET3021,001,스마트웰니스디자인,2,3.0,전공선택,"화10,11,12,13,14,15(60주년-904)",송지희,절대평가, 
DET3002-001,DET3002,001,게임 콘텐츠 기획,3,3.0,전공필수,"화4,5,6,7,8,9(5남137)",성보경,절대평가, 
DET3002-002,DET3002,002,게임 콘텐츠 기획,3,3.0,전공필수,"금1,2,3,4,5,6(5남137)",성보경,절대평가, 
DET3003-001,DET3003,001,디자인테크놀로지세미나,3,3.0,전공선택,"목16,17,18,19,20,21(60주년-908)",김후석,절대평가, 
DET3004-001,DET3004,001,디지털사운드디자인,3,3.0,전공선택,"목4,5,6,7,8,9(60주년-904)",이성훈,절대평가, 
DET3007-001,DET3007,001,3D 캐릭터 애니메이션,3,3.0,전공선택,"화16,17,18,19,20,21(5남137)",성보경,절대평가, 
DET3019-001,DET3019,001,게임프로그래밍,3,3.0,전공선택,"금13,14,15,16,17,18(5남137)",김종현,절대평가, 
DET3020-001,DET3020,001,컴퓨터그래픽스,3,3.0,전공선택,"월10,11,12,13,14,15(5남137)",김종현,절대평가, 
DET4001-001,DET4001,001,인터랙티브 게임디자인,4,3.0,전공선택,"수10,11,12,13,14,15(5남137)","김윤정,김종현",Pass/Fail, 
DET4003-001,DET4003,001,퓨처프러덕트 디자인,4,3.0,전공선택,"금13,14,15,16,17,18(60주년-908)","성보경,이덕찬",Pass/Fail, 
