course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
BTE1101-001,BTE1101,001,생명공학도를 위한 일반생물학,1,3.0,교양필수,"화10,11,12(60주년-108) /목13,14,15(2동256)",김현진,상대평가, 
BTE1101-002,BTE1101,002,생명공학도를 위한 일반생물학,1,3.0,교양필수,"화16,17,18(2동256) /목16,17,18(60주년-207)",김현진,상대평가, 
CHM1021-004,CHM1021,004,화학 1,1,3.0,교양필수,"월1,2,3,수4,5,6(5동507)",조경철,상대평가, 
CHM1028-004,CHM1028,004,화학실험 1,1,1.0,교양필수,"수13,14,15,16(5동510)",최영식,절대평가, 
MTH1001-012,MTH1001,012,일반수학 1,1,3.0,교양필수,"화7,8,9,목7,8,9(5동107B)",유자도,상대평가, 
PHY1001-012,PHY1001,012,물리학 1,1,3.0,교양필수,"월4,5,6,수1,2,3(5동406)",김민수,상대평가, 
PHY1003-012,PHY1003,012,물리학실험 1,1,1.0,교양필수,"목1,2,3,4(5동315)",정종훈,절대평가, 
ACE2101-009,ACE2101,009,공업수학 1,2,3.0,교양필수,"월1,2,3,수1,2,3(2동256)",허윤석,상대평가,선수
ACE2101-010,ACE2101,010,공업수학 1,2,3.0,교양필수,"수7,8,9(2동252) /목10,11,12(2동256)",김민식,상대평가,선수
BTE1201-001,BTE1201,001,창의적생명공학설계,2,3.0,전공필수,"화1,2,3,4,5,6(2동252)",양윤정,Pass/Fail, 
BTE1201-002,BTE1201,002,창의적생명공학설계,2,3.0,전공필수,"목1,2,3,4,5,6(2동256)",김민식,Pass/Fail, 
BTE2101-001,BTE2101,001,유기화학 1,2,3.0,전공필수,"수16,17,18,목7,8,9(2동256)",임현규,절대평가,"영어,English,선수"
BTE2102-001,BTE2102,001,물리화학,2,3.0,전공필수,"화7,8,9,금7,8,9(2동256)",부지윤,상대평가, 
BTE2102-002,BTE2102,002,물리화학,2,3.0,전공필수,"화13,14,15,금13,14,15(2동256)",부지윤,상대평가, 
BTE2105-001,BTE2105,001,미생물학,2,3.0,전공필수,"월4,5,6,수4,5,6(2동252)","김응수,임현규",상대평가,선수
BTE2105-002,BTE2105,002,미생물학,2,3.0,전공필수,"월10,11,12,수10,11,12(2동252)","김응수,임현규",상대평가,선수
BTE3101-001,BTE3101,001,생물화학공학,3,3.0,전공필수,"월16,17,18(2동252) /화4,5,6(2동256)",신화성,상대평가,선수
BTE3101-002,BTE3101,002,생물화학공학,3,3.0,전공필수,"월10,11,12,화1,2,3(2동256)",백영빈,절대평가,"영어,English,선수"
BTE3110-001,BTE3110,001,생물공학실험 1,3,2.0,전공필수,"화13,14,15,16(4-111) /화17,18(C-104) /화19,20(C-106)",백종윤,절대평가,선수
BTE3110-002,BTE3110,002,생물공학실험 1,3,2.0,전공필수,"목13,14,15,16(4-111) /목17,18(C-104) /목19,20(C-106)",백종윤,절대평가,선수
BTE3110-003,BTE3110,003,생물공학실험 1,3,2.0,전공필수,"금1,2,3,4(4-111) /금5,6(C-104) /금7,8(C-106)",임현규,절대평가,선수
BTE3112-001,BTE3112,001,생물반응공학,3,3.0,전공선택,"화10,11,12,수16,17,18(2동252)",권순조,절대평가,"영어,English"
BTE3113-001,BTE3113,001,단백질공학,3,3.0,전공선택,"화13,14,15,16,17,18(2북465)",양윤정,절대평가,"영어,English"
BTE3205-001,BTE3205,001,유전공학,3,3.0,전공선택,"월13,14,15,수13,14,15(2동256)",김응수,상대평가, 
BTE4101-001,BTE4101,001,생물정보학 및 실습,3,3.0,전공선택,"월4,5,6,7(2동256) /수1,2,3,4(6-326)",홍성주,절대평가,선수
BTE4101-002,BTE4101,002,생물정보학 및 실습,3,3.0,전공선택,"월4,5,6,7(2동256) /수7,8,9,10(6-326)",홍성주,절대평가,선수
ACE1301-009,ACE1301,009,정보사회와컴퓨터,4,3.0,교양필수,"금10,11(2동256) /금12,13,14,15(2북465)",이윤정,절대평가, 
BTE3109-001,BTE3109,001,세포배양공학,4,3.0,전공선택,"월16,17,18,수4,5,6(2동256)",백종윤,절대평가,"영어,English"
BTE4103-001,BTE4103,001,세포생물학,4,3.0,전공선택,"화13,14,15,16,17,18(2동252)",김동일,상대평가, 
BTE4201-001,BTE4201,001,생명공학종합설계,4,3.0,전공필수,"목19,20,21,22,23,24(2동252)",정우진,Pass/Fail,선수
BTE4205-001,BTE4205,001,생체재료공학,4,3.0,전공선택,"목10,11,12,금7,8,9(2동252)",정우진,상대평가, 
BTE4206-001,BTE4206,001,바이오산업현장개론,4,2.0,전공선택,"수9,10,11,12(2동256)",허윤석,Pass/Fail, 
BTE4209-001,BTE4209,001,조직공학,4,3.0,전공선택,"월13,14,15,수13,14,15(2동252)",권순조,절대평가,"영어,English"
