A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,"1학년(1,2학기)",
교양필수,대학교교양필수,,,GEB1114,크로스오버 3 : 사회의 탐색,2.0,"1학년(1,2학기)",
교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1142,미래사회와 소프트웨어-이공계열,3.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,학과(부)교양필수,,,,"핵심교양-1.인간,가치,공존(공학인증)",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-3.문학, 예술, 상징",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-4.사회, 제도, 세계",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,SW�AI,3.0,전체,교양교과과정참조
교양필수,계열교양영역,계열교양,,ACE1310,공학전산응용,3.0,2학년(1학기),
교양필수,계열교양영역,계열교양,,ACE2101,공업수학 1,3.0,2학년(2학기),
교양필수,계열교양영역,계열교양,,ACE2102,공업수학 2,3.0,3학년(1학기),
교양필수,계열교양영역,계열교양,,ACE2103,수치해석,3.0,3학년(1학기),
교양필수,계열교양영역,계열교양,,ACE2104,통계학,3.0,2학년(1학기),
교양필수,계열교양영역,계열교양,,CHM1023,일반화학,3.0,1학년(2학기),
교양필수,계열교양영역,계열교양,,MTH1001,일반수학 1,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양,,MTH1002,일반수학 2,3.0,1학년(2학기),
교양필수,계열교양영역,계열교양,,PHY1001,물리학 1,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양,,PHY1002,물리학 2,3.0,1학년(2학기),
교양필수,계열교양영역,계열교양,,PHY1003,물리학실험 1,1.0,1학년(1학기),
교양필수,,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
전공필수,,건축구조,전공기반,ARE2105,건축구조역학,3.0,2학년(1학기),
전공필수,,건축시공및관리,전공핵심,ARE3308,"건설사업관리-건설기획,설계,구매",3.0,3학년(2학기),
전공필수,,건축환경및설비,전공핵심,ARE3207,건축설비,3.0,3학년(1학기),
전공필수,,공통과정,전공기반,ARC1201,건축설계 1,3.0,1학년(1학기),
전공필수,,공통과정,전공핵심,ARE1402,건축공학창의설계,3.0,1학년(2학기),
전공필수,,공통과정,전공기반,ARE1403,건축공학개론,3.0,1학년(1학기),
전공필수,,공통과정,전공핵심,ARE3403,건축공학일반설계,3.0,3학년(1학기),
전공필수,,공통과정,,ARE4410,건축공학종합설계,4.0,4학년(1학기),
전공선택,,건축구조,전공핵심,ARE2103,구조동역학,3.0,2학년(2학기),
전공선택,,건축구조,전공핵심,ARE2106,구조해석응용,3.0,2학년(2학기),
전공선택,,건축구조,전공핵심,ARE3108,철근콘크리트 건축구조,3.0,3학년(1학기),
전공선택,,건축구조,전공핵심,ARE3109,철근콘크리트 구조응용,3.0,3학년(2학기),
전공선택,,건축구조,전공핵심,ARE4107,구조시스템설계,3.0,4학년(1학기),
전공선택,,건축구조,전공집중,ARE4112,철골구조1,3.0,"4학년(1,2학기)",
전공선택,,건축구조,전공핵심,ARE4113,스마트 강구조시스템,3.0,4학년(1학기),
전공선택,,건축시공및관리,전공핵심,ARE2303,건축일반구조 및 재료,3.0,2학년(1학기),
전공선택,,건축시공및관리,,ARE2304,공학CAD,3.0,2학년(2학기),
전공선택,,건축시공및관리,전공핵심,ARE3303,건축시공,3.0,3학년(2학기),
전공선택,,건축시공및관리,전공핵심,ARE3307,건축법규,3.0,3학년(1학기),
전공선택,,건축시공및관리,전공핵심,ARE3309,건축적산,3.0,3학년(2학기),
전공선택,,건축시공및관리,전공집중,ARE4309,공정관리,3.0,4학년(1학기),
전공선택,,건축시공및관리,전공핵심,ARE4310,"건설사업관리-시공,운영,유지관리",3.0,4학년(1학기),
전공선택,,건축시공및관리,전공핵심,ARE4311,건축BIM,3.0,4학년(2학기),
전공선택,,건축안전,,ARE4501,건축 및 재난 안전관리,3.0,4학년(2학기),
전공선택,,건축환경및설비,전공기반,ARE2203,건축환경-열환경,3.0,2학년(1학기),
전공선택,,건축환경및설비,전공핵심,ARE2204,건축환경-빛음환경,3.0,2학년(2학기),
전공선택,,건축환경및설비,전공핵심,ARE3208,신재생에너지설비,3.0,3학년(2학기),
전공선택,,건축환경및설비,,ARE3209,친환경시스템설계,3.0,3학년(2학기),
전공선택,,건축환경및설비,전공핵심,ARE4209,건물에너지시뮬레이션,3.0,4학년(1학기),
전공선택,,공통과정,,ACE9501,다학년 연구프로젝트 1,1.0,"전체(1,2학기)",
전공선택,,공통과정,,ACE9502,다학년 연구프로젝트 2,1.0,"전체(1,2학기)",
전공선택,,공통과정,,ACE9503,다학년 연구프로젝트 3,1.0,"전체(1,2학기)",
전공선택,,공통과정,,ARE4411,건축공학심화연구,5.0,4학년(2학기),
전공선택,,공통과정,,ARE9503,건축실무연수,3.0,"4학년(1,2학기)",
전공선택,,공통과정,,ARE9505,건축공학실무,3.0,"4학년(1,2학기)",
