A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1114,크로스오버 3 : 사회의 탐색,2.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1142,미래사회와 소프트웨어-이공계열,3.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,학과(부)교양필수,,,,"핵심교양-1.인간,가치,공존(공학인증)",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-3.문학, 예술, 상징",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-4.사회, 제도, 세계",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,창의,3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,SW�AI,3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,계열교양영역,,ACE2101,공업수학 1,3.0,2학년(2학기),
교양필수,학과(부)교양필수,계열교양영역,,CHM1023,일반화학,3.0,1학년(1학기),
교양필수,학과(부)교양필수,계열교양영역,,CHM1027,일반화학실험,1.0,1학년(1학기),
교양필수,학과(부)교양필수,계열교양영역,,GEO1005,공간정보 지구과학,3.0,1학년(2학기),
교양필수,학과(부)교양필수,계열교양영역,,GEO1012,공간정보 프로그래밍 기초,3.0,1학년(2학기),
교양필수,학과(부)교양필수,계열교양영역,,GEO2011,공간정보 수치해석,3.0,2학년(1학기),
교양필수,학과(부)교양필수,계열교양영역,,GEO2012,공간정보 기초 통계학,3.0,2학년(1학기),
교양필수,학과(부)교양필수,계열교양영역,,GEO2013,공간정보 기초 자료구조,3.0,2학년(2학기),
교양필수,학과(부)교양필수,계열교양영역,,MTH1001,일반수학 1,3.0,1학년(1학기),
교양필수,학과(부)교양필수,계열교양영역,,MTH1002,일반수학 2,3.0,1학년(2학기),
교양필수,학과(부)교양필수,계열교양영역,,PHY1005,일반물리학,3.0,1학년(1학기),
교양선택,,핵심교양영역,,GED1002,공학윤리와 토론,3.0,"2학년(1,2학기)",
전공필수,,공통,전공핵심,GEO1002,창의적 공학설계,3.0,1학년(2학기),
전공필수,,공통,전공기반,GEO1004,원격탐사,3.0,1학년(2학기),
전공필수,,공통,전공기반,GEO1011,공간정보공학개론,3.0,1학년(1학기),
전공필수,,공통,전공기반,GEO2003,공간위치결정,3.0,2학년(1학기),
전공필수,,공통,전공기반,GEO2005,GIS개론,3.0,2학년(2학기),
전공필수,,공통,전공기반,GEO2010,객체지향프로그램,3.0,2학년(1학기),
전공필수,,공통,,GEO2090,GPS개론,3.0,2학년(2학기),
전공필수,,공통,,GEO3001,공간정보 진로세미나,1.0,3학년(1학기),
전공필수,,공통,전공기반,GEO3105,사진측량학,3.0,3학년(1학기),
전공필수,,공통,전공집중,GEO4010,공간정보종합설계,3.0,"4학년(1,2학기)",
전공선택,,공간정보컴퓨팅,전공핵심,GEO3307,위치기반 앱 프로그래밍,3.0,3학년(1학기),
전공선택,,공간정보컴퓨팅,전공핵심,GEO3309,컴퓨터 그래픽스,3.0,3학년(2학기),
전공선택,,공간정보컴퓨팅,전공집중,GEO3312,공간데이터베이스,3.0,3학년(2학기),
전공선택,,공간정보컴퓨팅,,GEO3314,3D영상프로그래밍,3.0,3학년(2학기),
전공선택,,공간정보컴퓨팅,,GEO3320,공간자료구조,3.0,3학년(1학기),
전공선택,,공간정보컴퓨팅,,GEO3380,데이터베이스,3.0,3학년(1학기),
전공선택,,공간정보컴퓨팅,전공핵심,GEO4302,웹GIS프로그래밍,3.0,4학년(1학기),
전공선택,,공간정보컴퓨팅,,GEO4312,공간정보 소프트웨어 설계,3.0,4학년(1학기),
전공선택,,공통,전공집중,GEO4013,공간정보기반 문제해결,3.0,"3학년(1,2학기)",
전공선택,,측량/위성측위,전공핵심,GEO2201,지형자료구축,3.0,2학년(2학기),
전공선택,,측량/위성측위,전공핵심,GEO2202,조정계산론,3.0,2학년(2학기),
전공선택,,측량/위성측위,전공핵심,GEO3206,GPS응용,3.0,3학년(1학기),
전공선택,,측량/위성측위,전공핵심,GEO3209,측지학,3.0,3학년(2학기),
전공선택,,측량/위성측위,전공핵심,GEO3211,지적학,3.0,3학년(2학기),
전공선택,,측량/위성측위,,GEO3212,공간정보센서융합,3.0,3학년(2학기),
전공선택,,측량/위성측위,전공집중,GEO4208,실내측위,3.0,4학년(1학기),
전공선택,,측량/위성측위,전공핵심,GEO4212,지적측량,3.0,4학년(1학기),
전공선택,,GIS/원격탐사,,GEO2121,도시공간구조,3.0,2학년(1학기),
전공선택,,GIS/원격탐사,전공핵심,GEO3101,위성영상처리,3.0,3학년(1학기),
전공선택,,GIS/원격탐사,전공핵심,GEO3102,공간분석,3.0,3학년(1학기),
전공선택,,GIS/원격탐사,전공핵심,GEO3104,컴퓨터지도학,3.0,3학년(1학기),
전공선택,,GIS/원격탐사,,GEO3110,스마트도시정보,3.0,3학년(2학기),
전공선택,,GIS/원격탐사,,GEO3111,공간통계와 인공지능,3.0,3학년(2학기),
전공선택,,GIS/원격탐사,,GEO3131,교통체계분석 및 계획,3.0,3학년(1학기),
전공선택,,GIS/원격탐사,,GEO3180,환경지구정보학,3.0,3학년(1학기),
