A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1113,크로스오버 2 : 자연의 탐색,2.0,"1학년(1,2학기)",
교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1141,미래사회와 소프트웨어-인문사회계열,3.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,학과(부)교양필수,,,,"핵심교양-2.역사, 사상, 문화",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-4.사회, 제도, 세계",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-5.자연, 생명, 환경",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,일반교양-7.SW�AI,3.0,전체,교양교과과정참조
교양필수,계열교양영역,계열교양,,EDC1106,AI의 이해와 교육적 활용,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양,,EDC1111,사회 변화와 교사 역량,2.0,"1학년(1,2학기)",
교양필수,계열교양영역,계열교양,,EDC1100,교육철학및교육사,2.0,"전체(1,2학기)",교직이론영역(최소 택6 필수)(택 6과목)
교양필수,계열교양영역,계열교양,,EDC1101,교육학개론,2.0,"전체(1,2학기)",교직이론영역(최소 택6 필수)(택 6과목)
교양필수,계열교양영역,계열교양,,EDC1104,교육심리,2.0,"전체(1,2학기)",교직이론영역(최소 택6 필수)(택 6과목)
교양필수,계열교양영역,계열교양,,EDC1105,교육사회,2.0,"전체(1,2학기)",교직이론영역(최소 택6 필수)(택 6과목)
교양필수,계열교양영역,계열교양,,EDC2101,교육과정,2.0,"전체(1,2학기)",교직이론영역(최소 택6 필수)(택 6과목)
교양필수,계열교양영역,계열교양,,EDC2103,교육방법 및 교육공학,2.0,"전체(1,2학기)",교직이론영역(최소 택6 필수)(택 6과목)
교양필수,계열교양영역,계열교양,,EDC3102,교육평가,2.0,"전체(1,2학기)",교직이론영역(최소 택6 필수)(택 6과목)
교양필수,계열교양영역,계열교양,,EDC3106,교육행정 및 교육경영,2.0,"전체(1,2학기)",교직이론영역(최소 택6 필수)(택 6과목)
교양필수,계열교양영역,계열교양,,EDC3118,학생 생활지도 및 상담,2.0,"전체(1,2학기)",교직이론영역(최소 택6 필수)(택 6과목)
교양필수,계열교양영역,계열교양,,EDC2107,특수교육학개론,2.0,2학년(2학기),교직소양영역(택 3과목)
교양필수,계열교양영역,계열교양,,EDC3120,디지털교육,1.0,3학년(1학기),교직소양영역(택 3과목)
교양필수,계열교양영역,계열교양,,EDC3311,학교폭력예방 및 학생의 이해,2.0,3학년(2학기),교직소양영역(택 3과목)
교양필수,계열교양영역,계열교양,,EDC4115,교직실무,1.0,4학년(1학기),교직소양영역(택 3과목)
교양필수,계열교양영역,계열교양,,EDC1112,교육봉사활동 1,1.0,1학년(2학기),교육실습영역(택 3과목)
교양필수,계열교양영역,계열교양,,EDC4109,교육실습,2.0,4학년(1학기),교육실습영역(택 3과목)
교양필수,계열교양영역,계열교양,,EDC9113,교육봉사활동 2,1.0,2학년(1학기),교육실습영역(택 3과목)
전공필수,,공통과정,전공기반,SSE1111,정치와 사회,3.0,1학년(1학기),전공필수(택 9과목)
전공필수,,공통과정,전공기반,SSE1131,인간과 사회,3.0,2학년(1학기),전공필수(택 9과목)
전공필수,,공통과정,전공기반,SSE1161,사회과 교육론,3.0,1학년(2학기),전공필수(택 9과목)
전공필수,,공통과정,전공기반,SSE2121,경제와 사회,3.0,2학년(2학기),전공필수(택 9과목)
전공필수,,공통과정,전공기반,SSE2141,문화와 사회,3.0,2학년(2학기),전공필수(택 9과목)
전공필수,,공통과정,전공기반,SSE2151,법과 사회,3.0,2학년(2학기),전공필수(택 9과목)
전공필수,,공통과정,전공기반,SSE3132,사회과학방법론,3.0,3학년(1학기),전공필수(택 9과목)
전공필수,,공통과정,,SSE3211,사회 교재연구 및 지도법,3.0,3학년(2학기),전공필수(택 9과목)
전공필수,,공통과정,전공핵심,SSE4164,사회과 논리 및 논술,3.0,3학년(1학기),전공필수(택 9과목)
전공선택,,일반사회,전공핵심,SSE1221,경제교육론,3.0,1학년(2학기),전공선택(택 13과목)
전공선택,,일반사회,전공핵심,SSE1241,문화와 교육,3.0,1학년(1학기),전공선택(택 13과목)
전공선택,,일반사회,전공핵심,SSE1251,법교육 개론,3.0,1학년(1학기),전공선택(택 13과목)
전공선택,,일반사회,,SSE2131,문학과 사회학 융합을 통한 한국사회탐구,2.0,2학년(1학기),전공선택(택 13과목)
전공선택,,일반사회,전공핵심,SSE2211,국제관계론,3.0,2학년(2학기),전공선택(택 13과목)
전공선택,,일반사회,전공핵심,SSE2231,세계화와 현대 사회,3.0,1학년(2학기),전공선택(택 13과목)
전공선택,,일반사회,전공핵심,SSE2243,한국문화의 창의적 탐색,3.0,2학년(1학기),전공선택(택 13과목)
전공선택,,일반사회,전공핵심,SSE2252,범죄와 형벌,3.0,2학년(1학기),전공선택(택 13과목)
전공선택,,일반사회,전공핵심,SSE2261,사회과 평가론,3.0,2학년(1학기),전공선택(택 13과목)
전공선택,,일반사회,,SSE3163,융합형 프로젝트 기반 수업 설계,3.0,3학년(1학기),전공선택(택 13과목)
전공선택,,일반사회,전공핵심,SSE3212,현대정치과정론,3.0,3학년(2학기),전공선택(택 13과목)
전공선택,,일반사회,전공핵심,SSE3213,행정학 입문,3.0,3학년(1학기),전공선택(택 13과목)
전공선택,,일반사회,전공핵심,SSE3214,정치발전과 교육,3.0,4학년(2학기),전공선택(택 13과목)
전공선택,,일반사회,전공핵심,SSE3222,경제교육과 국가경제,3.0,3학년(1학기),전공선택(택 13과목)
전공선택,,일반사회,전공집중,SSE3243,다문화교육의 이해,3.0,3학년(2학기),전공선택(택 13과목)
전공선택,,일반사회,전공핵심,SSE3253,법교육 이론과 사례,3.0,3학년(2학기),전공선택(택 13과목)
전공선택,,일반사회,전공핵심,SSE3331,한국사회의 이해,3.0,4학년(1학기),전공선택(택 13과목)
전공선택,,일반사회,전공집중,SSE4224,시장경제의 탐구와 연습,3.0,4학년(1학기),전공선택(택 13과목)
전공선택,,통합사회,전공기반,SSE2101,통합사회교육론,3.0,3학년(1학기),전공선택(택 13과목)
전공선택,,통합사회,전공핵심,SSE2371,인문지리학,3.0,2학년(1학기),전공선택(택 13과목)
전공선택,,통합사회,전공핵심,SSE2372,자연지리학,3.0,2학년(2학기),전공선택(택 13과목)
전공선택,,통합사회,전공핵심,SSE3373,세계지리,3.0,3학년(1학기),전공선택(택 13과목)
전공선택,,통합사회,전공핵심,SSE3374,한국지리,3.0,3학년(2학기),전공선택(택 13과목)
전공선택,,통합사회,전공집중,SSE4232,이주사회학,3.0,3학년(2학기),전공선택(택 13과목)
전공선택,,통합사회,,SSE4314,비교민주주의론,3.0,4학년(1학기),전공선택(택 13과목)
전공선택,,통합사회,전공핵심,SSE4321,국가경제의 탐구와 연습,3.0,4학년(2학기),전공선택(택 13과목)
전공선택,,통합사회,전공핵심,SSE4341,지역문화의 탐구,3.0,4학년(2학기),전공선택(택 13과목)
전공선택,,통합사회,전공집중,SSE4351,사회문제와 법,3.0,4학년(1학기),전공선택(택 13과목)
전공선택,,통합사회,전공핵심,SSE4375,지도학의 이해,3.0,4학년(2학기),전공선택(택 13과목)
