A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1114,크로스오버 3 : 사회의 탐색,2.0,"1학년(1,2학기)",
교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1142,미래사회와 소프트웨어-이공계열,3.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,학과(부)교양필수,,,,"핵심교양-1.인간,가치,공존(공학인증)",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-2.역사, 사상, 문화",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-4.사회, 제도, 세계",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,창의,3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,SW�AI,3.0,전체,교양교과과정참조
교양필수,계열교양영역,계열교양영역,,ACE2101,공업수학 1,3.0,2학년(1학기),
교양필수,계열교양영역,계열교양영역,,CHE1101,통계학 기초,3.0,"1학년(1,2학기)",
교양필수,계열교양영역,계열교양영역,,CHE1102,화공수학,3.0,2학년(2학기),
교양필수,계열교양영역,계열교양영역,,CHE1103,화공매트랩 기초,3.0,"1학년(1,2학기)",
교양필수,계열교양영역,계열교양영역,,CHM1021,화학 1,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양영역,,CHM1022,화학 2,3.0,1학년(2학기),
교양필수,계열교양영역,계열교양영역,,CHM1028,화학실험 1,1.0,1학년(1학기),
교양필수,계열교양영역,계열교양영역,,CHM1029,화학실험 2,1.0,1학년(2학기),
교양필수,계열교양영역,계열교양영역,,MTH1001,일반수학 1,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양영역,,PHY1001,물리학 1,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양영역,,PHY1002,물리학 2,3.0,1학년(2학기),
교양필수,계열교양영역,계열교양영역,,PHY1003,물리학실험 1,1.0,1학년(1학기),
전공필수,,공업화학,전공핵심,CHE3300,공업화학실험,2.0,"3학년(1,2학기)",
전공필수,,공통,전공기반,CHE1100,화학공학 입문설계,3.0,1학년(2학기),
전공필수,,공통,전공기반,CHE2100,물리화학 1,3.0,2학년(1학기),
전공필수,,공통,전공기반,CHE2101,물리화학 2,3.0,2학년(2학기),
전공필수,,공통,전공기반,CHE2102,유기화학 1,3.0,2학년(1학기),
전공필수,,공통,전공기반,CHE2103,유기화학 2,3.0,2학년(2학기),
전공필수,,공통,전공기반,CHE2104,화공계산 1,3.0,2학년(1학기),
전공필수,,공통,전공핵심,CHE4100,화학공학 종합설계,3.0,"4학년(1,2학기)",
전공필수,,화학공학,전공핵심,CHE3201,화학반응공학,3.0,3학년(1학기),
전공필수,,화학공학,전공핵심,CHE3202,화학공학실험,2.0,"3학년(1,2학기)",
전공필수,,화학공학,전공핵심,CHE3207,화공열역학,3.0,3학년(1학기),
전공필수,,화학공학,,CHE3212,열 및 물질전달,3.0,3학년(1학기),
전공선택,,공업화학,전공핵심,CHE3301,무기공업화학,3.0,3학년(1학기),
전공선택,,공업화학,전공핵심,CHE3304,환경화학공학,3.0,3학년(2학기),
전공선택,,공업화학,전공집중,CHE3305,화공기기분석,3.0,3학년(2학기),
전공선택,,공업화학,전공핵심,CHE3306,화학공학커뮤니케이션,3.0,3학년(2학기),
전공선택,,공업화학,,CHE3308,반도체개론,3.0,3학년(2학기),
전공선택,,공업화학,전공핵심,CHE4301,전기화학공학,3.0,4학년(1학기),
전공선택,,공업화학,전공핵심,CHE4303,반도체공정공학,3.0,4학년(1학기),
전공선택,,공업화학,전공핵심,CHE4305,생물화학공학,3.0,4학년(2학기),
전공선택,,공업화학,전공핵심,CHE4307,고분자물성,3.0,3학년(2학기),
전공선택,,공업화학,전공핵심,CHE4308,고분자화학,3.0,3학년(1학기),
전공선택,,공업화학,전공핵심,CHE4309,유기공업화학,3.0,4학년(1학기),
전공선택,,공업화학,,CHE4432,나노공학,3.0,4학년(2학기),
전공선택,,공통,,ACE9501,다학년 연구프로젝트 1,1.0,1학년(2학기),
전공선택,,공통,,ACE9502,다학년 연구프로젝트 2,1.0,2학년(1학기),
전공선택,,공통,,ACE9503,다학년 연구프로젝트 3,1.0,2학년(2학기),
전공선택,,공통,전공기반,CHE2105,화공계산 2,3.0,2학년(2학기),
전공선택,,공통,,CHE2108,재료과학,3.0,2학년(1학기),
전공선택,,화공소재,,CHE3311,바이오소재,3.0,3학년(2학기),
전공선택,,화공소재,,CHE4310,정보전자디스플레이,3.0,4학년(2학기),
전공선택,,화공소재,,CHE4401,카본소재,3.0,4학년(1학기),
전공선택,,화공소재,,CHE4402,에너지소재,3.0,4학년(1학기),
전공선택,,화공소재,,CHE4403,기능성고분자,3.0,4학년(2학기),
전공선택,,화공소재,,CHE4404,무기전자재료,3.0,4학년(2학기),
전공선택,,화공소재,,CHE4407,AI/빅데이터 소재공학,3.0,4학년(1학기),
전공선택,,화학공학,전공핵심,CHE2200,유체유동,3.0,2학년(2학기),
전공선택,,화학공학,,CHE3209,화공수치해석,3.0,3학년(2학기),
전공선택,,화학공학,,CHE3210,공정제어,3.0,3학년(1학기),
전공선택,,화학공학,,CHE3211,공장설계,3.0,3학년(2학기),
전공선택,,화학공학,,CHE3213,분리공정,3.0,3학년(2학기),
전공선택,,화학공학,전공핵심,CHE4202,에너지공학,3.0,4학년(2학기),
