A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1113,크로스오버 2 : 자연의 탐색,2.0,1학년(1학기),
교양필수,대학교교양필수,기초교양,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,기초교양,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(2학기),
교양필수,대학교교양필수,기초교양,,GEB1141,미래사회와 소프트웨어-인문사회계열,3.0,1학년(1학기),
교양필수,대학교교양필수,기초교양,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,기초교양,,GEB1107,의사소통 영어,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,기초교양,,GEB1108,의사소통 영어: 중급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,기초교양,,GEB1109,의사소통 영어: 고급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,학과(부)교양필수,,,,"핵심교양-2.역사, 사상, 문화",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-4.사회, 제도, 세계",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-5.자연, 생명, 환경",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,창의,3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,SW�AI,3.0,전체,교양교과과정참조
교양필수,계열교양영역,계열교양,,CBA1102,경영학원론,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양,,CBA1103,경제학,3.0,1학년(2학기),
교양필수,계열교양영역,계열교양,,CBA1106,회계원론,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양,,CBA1201,금융수학,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양,,CBA1202,금융통계,3.0,1학년(2학기),
전공필수,,글로벌 역량,전공기반,GFB2103,비즈니스영어 1,3.0,2학년(1학기),
전공필수,,글로벌 역량,전공기반,GFB2104,비즈니스영어 2,3.0,2학년(2학기),
전공필수,,금융기초 지식,전공기반,GFB2101,미시경제,3.0,2학년(1학기),
전공필수,,금융기초 지식,전공기반,GFB2102,거시경제,3.0,2학년(2학기),
전공필수,,수리적 사고와 분석 능력,전공핵심,GFB2201,금융계량분석,3.0,2학년(2학기),
전공필수,,수리적 사고와 분석 능력,전공핵심,GFB3201,파생상품,3.0,3학년(2학기),
전공필수,,전문 금융지식 역량,전공기반,BUS2101,재무관리,3.0,1학년(2학기),
전공필수,,전문 금융지식 역량,전공핵심,BUS3101,투자론,3.0,2학년(1학기),
전공필수,,전문 금융지식 역량,전공핵심,GFB2401,금융시장론,3.0,2학년(2학기),
전공선택,,글로벌 역량,전공핵심,GFB3101,금융실무영어,3.0,3학년(1학기),
전공선택,,글로벌 역량,전공핵심,GFB3102,비즈니스 시사영어,3.0,3학년(2학기),
전공선택,,글로벌 역량,전공핵심,GFB3405,국제금융,3.0,3학년(1학기),
전공선택,,글로벌 역량,전공집중,GFB4402,투자은행론,3.0,4학년(1학기),
전공선택,,수리적 사고와 분석 능력,전공집중,GFB3202,금융시계열분석,3.0,3학년(1학기),
전공선택,,수리적 사고와 분석 능력,전공핵심,GFB3203,금융공학,3.0,3학년(2학기),
전공선택,,수리적 사고와 분석 능력,전공핵심,GFB3204,금융프로그래밍,3.0,3학년(1학기),
전공선택,,수리적 사고와 분석 능력,전공집중,GFB4201,보험수리,3.0,4학년(2학기),
전공선택,,전문 금융지식 역량,전공핵심,BUS3103,기업재무론,3.0,3학년(2학기),
전공선택,,전문 금융지식 역량,전공핵심,GFB3301,가치평가,3.0,3학년(1학기),
전공선택,,전문 금융지식 역량,전공집중,GFB3302,리스크관리,3.0,3학년(2학기),
전공선택,,전문 금융지식 역량,전공핵심,GFB3401,금융기관경영,3.0,3학년(1학기),
전공선택,,전문 금융지식 역량,전공핵심,GFB3402,금융법과 제도,3.0,3학년(2학기),
전공선택,,전문 금융지식 역량,전공핵심,GFB3403,화폐금융,3.0,3학년(1학기),
전공선택,,전문 금융지식 역량,전공핵심,GFB4301,자산운용,3.0,4학년(1학기),
전공선택,,전문 금융지식 역량,전공핵심,GFB4401,보험론,3.0,4학년(2학기),
전공선택,,창의적사고와 실사구시형 인재,전공핵심,GFB3103,금융실무의 이해,3.0,3학년(2학기),
전공선택,,창의적사고와 실사구시형 인재,전공핵심,GFB3104,금융세미나,3.0,3학년(1학기),
전공선택,,창의적사고와 실사구시형 인재,전공핵심,GFB3404,주식 및 채권분석,3.0,3학년(1학기),
전공선택,,창의적사고와 실사구시형 인재,전공집중,GFB4103,재무금융 특강,3.0,4학년(1학기),
전공선택,,창의적사고와 실사구시형 인재,,GFB4104,핀테크금융,3.0,4학년(1학기),
전공선택,,창의적사고와 실사구시형 인재,,GFB4111,금융데이터로 본 금융시장의 이해,3.0,4학년(1학기),
전공선택,,창의적사고와 실사구시형 인재,전공핵심,GFB4403,부동산금융의 이해,3.0,4학년(2학기),
