,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,ARS1113-001,ARS1113,1,영화와 대중문화,전체,3.0,교양필수,"금4,5,6,7,8,9(5서365)",임택,상대평가, 
1,ARS1114-001,ARS1114,1,공연예술의이해,전체,3.0,교양필수,"목13,14,15,16,17,18(5남234)",이인순,상대평가, 
2,IPS1443-001,IPS1443,1,연극사,1,3.0,전공선택,"금10,11,12,13,14,15(5남234)",김효진,상대평가, 
3,IPS1446-001,IPS1446,1,기초연기1,1,3.0,전공필수,"화10,11,12,13,14,15(5남231)",황정미,절대평가, 
4,IPS1446-002,IPS1446,2,기초연기1,1,3.0,전공필수,"월13,14,15,16,17,18(5남231)",강경동,절대평가, 
5,IPS1512-001,IPS1512,1,한국영화사,1,3.0,전공선택,"월13,14,15,16,17,18(5남232)",노철환,상대평가, 
6,IPS1513-001,IPS1513,1,영화개론,1,3.0,전공필수,"목1,2,3,4,5,6(5동202)",노철환,상대평가, 
7,IPS2309-001,IPS2309,1,영화연출론,2,3.0,전공선택,"수4,5,6,7,8,9(5남234)",이광훈,절대평가, 
8,IPS2309-002,IPS2309,2,영화연출론,2,3.0,전공선택,"수13,14,15,16,17,18(5남234)",이광훈,절대평가, 
9,IPS2349-001,IPS2349,1,촬영조명 1,2,2.0,전공선택,"화4,5,6,7,8,9(5남234)",김훈광,절대평가, 
10,IPS2349-002,IPS2349,2,촬영조명 1,2,2.0,전공선택,"화13,14,15,16,17,18(5남232)",김훈광,절대평가, 
11,IPS2436-001,IPS2436,1,무대연기,2,3.0,전공선택,"수10,11,12,13,14,15,16,17,18,19,20,21(5남231)",황정미,절대평가, 
12,IPS2469-001,IPS2469,1,뮤지컬 연기 실습 1,2,2.0,전공선택,"월10,11,12,13,14,15(5남237B)",최윤정,절대평가, 
13,IPS2471-001,IPS2471,1,무대 기술,2,2.0,전공선택,"화4,5,6,7,8,9(5남232)",박종화,절대평가, 
14,IPS2645-001,IPS2645,1,디지털영상편집 1,2,2.0,전공선택,"월1,2,3,4,5,6(5남239)",노철환,절대평가, 
15,IPS3322-001,IPS3322,1,시나리오 작법 2,3,3.0,전공선택,"화4,5,6,7,8,9(5서460)",이상범,절대평가, 
16,IPS3322-002,IPS3322,2,시나리오 작법 2,3,3.0,전공선택,"금4,5,6,7,8,9(5남232)",박광춘,절대평가, 
17,IPS3454-001,IPS3454,1,기초연출실습,3,2.0,전공선택,"목10,11,12,13,14,15(7-309)",김효진,절대평가,캡스톤디자인
18,IPS3472-001,IPS3472,1,움직임 1,3,2.0,전공선택,"월4,5,6,7,8,9(5남231)",강경동,절대평가, 
19,IPS3473-001,IPS3473,1,미디어연기 1,3,3.0,전공선택,"목4,5,6,7,8,9(7-309)",박준혁,절대평가, 
20,IPS3474-001,IPS3474,1,프로덕션 디자인,3,3.0,전공선택,"목4,5,6,7,8,9(5남234)",김미경,절대평가, 
21,IPS3502-001,IPS3502,1,영화제작 1,3,3.0,전공선택,"금13,14,15,16,17,18(5남333)",박광춘,절대평가,캡스톤디자인
22,IPS4318-001,IPS4318,1,공연예술과 대중문화,4,3.0,전공선택,"화13,14,15,16,17,18(5서360)",이상범,상대평가, 
23,IPS4332-001,IPS4332,1,홍보 마케팅 입문,4,3.0,전공선택,"목13,14,15,16,17,18(60주년-509)",노철환,상대평가, 
24,IPS4341-001,IPS4341,1,다큐멘터리 기획과 제작,4,3.0,전공선택,"수4,5,6,7,8,9(5남232)",김훈광,절대평가, 
25,IPS4354-001,IPS4354,1,영화제작 3,4,2.0,전공선택,"화10,11,12,13,14,15(5남234)",이광훈,절대평가,캡스톤디자인
26,IPS4583-001,IPS4583,1,연극기획과제작,4,3.0,전공선택,"금19,20,21,22,23,24(7-123A)",김효진,절대평가,캡스톤디자인
27,IPS4620-001,IPS4620,1,오디션연기실습 1,4,3.0,전공선택,"목10,11,12,13,14,15(5남231)",황정미,절대평가, 
